system:index,CGIAR_Aridity_Index,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_exBIO_NPP,EarthEnvTexture_Contrast_EVI,EarthEnvTopoMed_Elevation,SG_Soil_pH_H2O_000cm,WCS_Human_Footprint_2009,Site,.geo
00000000000000000067_0,9757,255.6169898,2199.5974,22659.361,26807,266.5,58.126087,12.7964325,PSA0388-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0,10175,255.5164249,2266.1953,22964.984,72610,277.5,58.679565,11.736897,PSA0355-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,9710,267.5328682,1996.1532,21638.24,98693,24.5,61.052464,16.511124,PSA0003-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,9948,267.5334268,1899.6072,21105.299,136403,22.5,63.239067,15.479127,PSA0310-2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0,9516,267.4674163,1895.6562,21083.135,267941,31.5,62.25623,18.217894,PSA0313-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0,9774,264.6164365,1880.1718,20994.25,107312,80,61.484974,16.49499,PSA0332-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0,9867,267.5002793,1927.7869,21264.29,340274,22.5,62.81045,12.864779,Pasture13,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0,10936,267.5002793,2042.0912,21880.578,65105,36,60.59871,17.03864,Pasture14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0,9772,268.4824473,1924.251,21244.639,51310,20,62.616737,16.845182,Pasture15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,9570,265.5334294,1869.0511,20930.02,57233,54,60.11274,19.324673,PSA0342-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,11341,260.6161546,2305.3945,23140.03,218357,136,60.11275,15.89529,RefForest6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0,10102,262.4498538,2510.9995,23985.29,122825,73.5,58.748756,10.578983,RefForest7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0,10845,260.4495872,2245.818,22873.047,103303,132.5,58.08672,15.189233,PSA0045-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074_0,9924,262.4668553,2225.3533,22778.824,37474,89,59.66093,16.99235,PSA0243-2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,10845,260.4495872,2245.818,22873.047,103303,132.5,58.08672,15.189233,RefForest8.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,10975,261.4167192,2283.5627,23043.121,73242,100.5,58.646767,15.04488,PSA0259-2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0,10826,256.3838565,2313.2217,23174.266,91551,198,57.456284,14.575078,PSA0166-2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0,10860,263.4008348,2313.2139,23173.795,61805,67.5,58.97442,18.684374,PSA0167-2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079_0,10831,263.4495768,2311.0764,23164.623,61720,66,58.83658,15.088983,PSA0380-2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a_0,11117,247.5832939,2465.622,23808.479,132983,399.5,56.898678,15.003385,PSA0001-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0,10823,250.5169993,2562.5796,24180.543,49866,315.5,57.423023,15.508374,PSA0483-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0,10015,256.5509876,2287.5793,23061.309,128058,249,59.023422,18.753899,RefForest8.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0,10625,254.7161607,2250.257,22892.818,109682,300.5,59.8647,19.259794,RefForest9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,10316,259.6328691,2193.896,22631.771,146550,185,60.699974,23.188185,RefForest10,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0,9049,268.5498595,2042.5372,21882.56,86356,84,62.022686,18.817608,Pasture16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080_0,8891,270.467129,2013.5728,21730.879,98926,44,61.464706,16.587946,Pasture17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_0,9217,271.5,1810.1372,20581.393,48763,20,62.747402,19.568386,Pasture18,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082_0,9303,271.5,1775.1581,20367.98,61693,30.5,64.247246,19.905758,Pasture19,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_0,9556,271.5,1781.033,20404.197,122910,32,63.072983,16.165415,Pasture20,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_0,9022,270.466576,1857.9937,20865.402,94726,42,62.98849,18.892029,RefForest11,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085_0,9714,264.3507095,2464.5876,23803.959,25492,135,58.882545,12.209855,RefForest12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086_0,10072,262.5832917,2425.9478,23649.182,95229,193.5,59.674713,18.178421,RefForest13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087_0,9799,254.6665805,2520.078,24020.701,85748,346.5,58.462997,12.663463,RefForest14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088_0,8525,270.5167119,2024.1787,21787.168,77653,47.5,61.185688,15.0896635,RefForest15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089_0,8597,270.4997207,1781.9836,20410.27,73284,31.5,61.665623,24.463493,RefForest16,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_0,8442,271.4832881,1740.1675,20150.055,1028569,10,61.095024,16.213848,RefForest17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b_0,8179,270.5167149,1706.0718,19932.223,352698,12.5,58.640774,18.6793,RefForest18,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c_0,9374,268.4835673,1992.7914,21620.69,158185,67.5,62.00203,18.172184,RefForest19,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d_0,9890,263.4679778,1983.3301,21568.98,135335,132,60.484295,16.166958,RefForest20,"{""type"":""MultiPoint"",""coordinates"":[]}"
